label:cell.node[cell.axonnodes-1].v(0.5)
2001
0	-65
0.025	-64.8547
0.05	-64.8444
0.075	-64.9258
0.1	-65.0631
0.125	-65.2362
0.15	-65.4327
0.175	-65.6441
0.2	-65.8641
0.225	-66.0878
0.25	-66.3116
0.275	-66.5325
0.3	-66.7483
0.325	-66.9574
0.35	-67.1584
0.375	-67.3506
0.4	-67.5335
0.425	-67.7066
0.45	-67.8699
0.475	-68.0235
0.5	-68.1676
0.525	-68.3024
0.55	-68.4283
0.575	-68.5456
0.6	-68.6548
0.625	-68.7564
0.65	-68.8507
0.675	-68.9381
0.7	-69.0192
0.725	-69.0943
0.75	-69.1637
0.775	-69.228
0.8	-69.2874
0.825	-69.3423
0.85	-69.3929
0.875	-69.4397
0.9	-69.4828
0.925	-69.5226
0.95	-69.5593
0.975	-69.5931
1	-69.6242
1.025	-69.6528
1.05	-69.6792
1.075	-69.7035
1.1	-69.7259
1.125	-69.7465
1.15	-69.7654
1.175	-69.7828
1.2	-69.7988
1.225	-69.8136
1.25	-69.8271
1.275	-69.8396
1.3	-69.8511
1.325	-69.8617
1.35	-69.8715
1.375	-69.8805
1.4	-69.8889
1.425	-69.8966
1.45	-69.9037
1.475	-69.9103
1.5	-69.9165
1.525	-69.9222
1.55	-69.9276
1.575	-69.9326
1.6	-69.9373
1.625	-69.9417
1.65	-69.9459
1.675	-69.9499
1.7	-69.9536
1.725	-69.9572
1.75	-69.9607
1.775	-69.964
1.8	-69.9672
1.825	-69.9704
1.85	-69.9734
1.875	-69.9764
1.9	-69.9793
1.925	-69.9822
1.95	-69.9851
1.975	-69.988
2	-69.9908
2.025	-69.9937
2.05	-69.9965
2.075	-69.9994
2.1	-70.0022
2.125	-70.0051
2.15	-70.0081
2.175	-70.011
2.2	-70.014
2.225	-70.017
2.25	-70.0201
2.275	-70.0232
2.3	-70.0263
2.325	-70.0295
2.35	-70.0328
2.375	-70.036
2.4	-70.0394
2.425	-70.0427
2.45	-70.0462
2.475	-70.0496
2.5	-70.0532
2.525	-70.0567
2.55	-70.0603
2.575	-70.064
2.6	-70.0677
2.625	-70.0715
2.65	-70.0753
2.675	-70.0791
2.7	-70.083
2.725	-70.0869
2.75	-70.0909
2.775	-70.0949
2.8	-70.0989
2.825	-70.103
2.85	-70.1071
2.875	-70.1112
2.9	-70.1154
2.925	-70.1196
2.95	-70.1238
2.975	-70.1281
3	-70.1324
3.025	-70.1367
3.05	-70.141
3.075	-70.1454
3.1	-70.1498
3.125	-70.1542
3.15	-70.1586
3.175	-70.163
3.2	-70.1675
3.225	-70.1719
3.25	-70.1764
3.275	-70.1809
3.3	-70.1854
3.325	-70.1899
3.35	-70.1944
3.375	-70.1989
3.4	-70.2034
3.425	-70.2079
